Rank,Company,Country,Sales,Profits,Assets,Market Value,ISO-ALPHA-3,ISO-ALPHA-2,IOC,FIFA,Latitude,Longitude,ISO-Name,Historical,WikiData_ID,WikiData_Latitude,WikiData_Longitude,WikiData_Label,WikiData_Description
462,Moderna,United States,14.92,4.78,24.13,52.24,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
464,Hyundai Mobis,South Korea,40.17,1.92,43.82,15.14,KOR,KR,KOR,KOR,35.907757,127.766922,0,0,Q884,36.0,128.0,South Korea,sovereign state in East Asia
465,M&T Bank,United States,10.1,2.33,202.96,19.9,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
466,Carrier Global,United States,21.04,2.53,26.41,35.38,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
467,CSL,Australia,11.72,2.17,35.45,97.91,AUS,AU,AUS,AUS,-25.274398,133.775136,1,0,Q408,-28.0,137.0,Australia,country in Oceania
468,CNH Industrial,United Kingdom,24.28,2.18,40.57,19.09,GBR,GB,GBR,,55.378051,-3.435973,0,0,Q145,54.6,-2.0,United Kingdom,country in Western Europe
469,Grupo Mexico,Mexico,13.93,3.26,32.66,37.81,MEX,MX,MEX,MEX,23.634501,-102.552784,1,0,Q96,23.0,-102.0,Mexico,sovereign state in North America
469,Keurig Dr Pepper,United States,14.33,1.32,51.66,46.65,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
471,GE Healthcare,United States,18.34,1.92,32.64,35.91,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
472,Maybank,Malaysia,9.9,1.87,215.17,23.77,MYS,MY,MAS,MAS,4.210484,101.975766,1,0,Q833,3.78,102.31,Malaysia,sovereign state in Southeast Asia
473,Toyota Industries,Japan,24.94,1.42,58.77,18.23,JPN,JP,JPN,JPN,36.204824,138.252924,1,0,Q17,35.0,136.0,Japan,sovereign state in East Asia
474,Commerzbank,Germany,15.55,1.51,524.97,13.46,DEU,DE,GER,GER,51.165691,10.451526,1,0,Q183,51.0,10.0,Germany,country in Central Europe
474,Corteva,United States,17.74,1.18,45.5,41.41,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
476,TC Energy,Canada,11.01,1.28,88.08,41.63,CAN,CA,CAN,CAN,56.130366,-106.346771,1,0,Q16,56.0,-109.0,Canada,sovereign state in North America
477,Bharti Airtel,India,17.12,0.9345,52.92,53.66,IND,IN,IND,IND,20.593684,78.96288,1,0,Q668,22.8,83.0,India,country in South Asia
477,Williams,United States,10.9,2.6,48.94,36.77,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
479,Henkel,Germany,23.54,1.32,35.41,34.28,DEU,DE,GER,GER,51.165691,10.451526,1,0,Q183,51.0,10.0,Germany,country in Central Europe
480,Veolia Environnement,France,45.07,0.7523,78.23,21.9,FRA,FR,FRA,FRA,46.227638,2.213749,1,0,Q142,47.0,2.0,France,country in Western Europe
481,Fifth Third Bank,United States,10.41,2.51,208.66,16.91,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
482,Fast Retailing,Japan,19.0,2.09,22.14,72.67,JPN,JP,JPN,JPN,36.204824,138.252924,1,0,Q17,35.0,136.0,Japan,sovereign state in East Asia
